id_inventario;nombre_articulo;tipo_modelo;color;marca;medida;existencia;entrada;salida
479;cortina jaguallana;6 pulg.;No aplica;No aplica;rollo;1;0;1
480;soclo ;2 pulg.;No aplica;No aplica;unidad;2;0;0
481;for clin;blanco;No aplica;No aplica;galon (18lts);1;1;4
482;banda HI power;B83;NEGRAS;No aplica;unidad;15;0;0
483;banda HI power;B82;negras;No aplica;unidad;10;0;0
484;banda HI power;B70;NEGRAS;No aplica;unidad;2;0;2
485;bandaHY-Ttorque tean;2/BX120;negrs;No aplica;unidad;1;0;1
486;banda HI power;2/BX120;negras;No aplica;unidad;2;0;0
487;banda HI power;B67;Negras;No aplica;unidad;3;0;0
488;BANDA dayco;BX 67;negras;No aplica;unidad;2;0;0
489;banda HI power;B65;Neggro;No aplica;unidad;5;0;0
490;band hi power;B85;negro;No aplica;unidad;1;0;0
491;banda HI power;B64;negro;No aplica;unidad;2;0;0
492;banda HI power;B63;negro;No aplica;unidad;6;0;0
